Filename,Labels,Notes
EA_PP-11009168_239.015_Pr_AA Sec_31 01 22.pdf,['Proposed Section'],
EA_PP-11009168_239.016_Pr_BB Sec_31 01 22.pdf,['Proposed Section'],
EA_PP-11010151_13 Proposed Section AA.pdf,['Proposed Section'],
EA_PP-11010151_14 Proposed Section BB.pdf,['Proposed Section'],
EA_PP-11010827_2141_PL-300-011.pdf,,scanned image
EA_PP-11015962_2102 TP006 Proposed Section AA A3.pdf,['Proposed Section'],
EA_PP-11015962_2102 TP007 Proposed Section BB A3.pdf,['Proposed Section'],
EA_PP-11019808_485 - A14_P2.pdf,"['Proposed Section','Proposed FRE','Proposed RRE','Proposed Section']",
EA_PP-11033105_205 cross section showing volume.pdf,,incomplete labels
EA_PP-11041707_10_SECTION_PROPOSED_50.pdf,['Proposed Section'],
EA_PP-11045821_31 St - Sheet - JA-R00-PR-106 - PROPOSED SECTIONS.pdf,['Proposed Section'],
PRESTON_PP-10534444_2399-CAL-0130_S4-P3 Proposed Sections.pdf,['Proposed Section'],
PRESTON_PP-11029623_1009 MUGA Sections.pdf,['Proposed Section'],
REDBRIDGE_PP-10576807_210328-200_P1_Proposed_Sections.pdf,['Proposed Section'],
REDBRIDGE_PP-11000926_A1.301-Proposed Section.pdf,['Proposed Section'],
REDBRIDGE_PP-11001171_PL07.pdf,['Proposed Section'],
REDBRIDGE_PP-11005758_PRO SECTION.pdf,['Proposed Section'],
REDBRIDGE_PP-11010982_25 proposed sections 3.pdf,['Proposed Section'],
REDBRIDGE_PP-11012038_Te0318.130.pdf,['Proposed Section'],
REDBRIDGE_PP-11018428_08 PROPOSED SECTION AA.pdf,['Proposed Section'],
REDBRIDGE_PP-11020496_09 PROPOSED SECTION AA.pdf,['Proposed Section'],
REDBRIDGE_PP-11022818v1_032C-VA-401.pdf,"['Proposed FRE','Proposed Section']",
REDBRIDGE_PP-11022818_032C-VA-401-Rev 01.pdf,"['Proposed FRE','Proposed Section']",
REDBRIDGE_PP-11025967v1_205-SECTION.pdf,,scanned image
REDBRIDGE_PP-11025967_205-SECTION.pdf,,scanned image
REDBRIDGE_PP-11030168_10 PROPOSED SECTION AA.pdf,['Proposed Section'],
REDBRIDGE_PP-11030459_22 Somersby Gardens Basement-XLN05 Sections.pdf,"['Existing Section','Proposed Section']",
REDBRIDGE_PP-11030800_P04.pdf,['Proposed Section'],
REDBRIDGE_PP-11032898_130.Revnone.pdf,,scanned image
REDBRIDGE_PP-11033273_86-P011_ProposedSectionB-B.pdf,['Proposed Section'],
REDBRIDGE_PP-11033959_104-SECTION X-X.pdf,,scanned image
SALFORD_PP-11030256_13 High Bank Road_Proposed Section.pdf,,incomplete labels
SALFORD_PP-11030804_15 Chatsworth Road-Proposed Section 05.pdf,,scanned image
STALBANS_PP-11021938_23140H_104(A) Sections Through Car Park Entrance Ramp.pdf,"['Proposed SE','Proposed Section']",
STALBANS_PP-11021938_23140H_105(B)_Noke Lane_Site Sections.pdf,"['Proposed Section','Existing Section']",
