Filename,Labels,Notes
DUDLEY_PP-11041713_21023 - 5 FLOOR PLANS.pdf,"['Proposed GFL','Proposed 1FL','Proposed 2FL','Proposed RP']",
EASTYORKSHIRE_PP-10479398_Grange Farm-Rev C-Plots Floor Plans.pdf,,
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Glamping Tents Floor Plans.pdf,,
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Sanitary Facilities Floor Plans.pdf,,
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Stables Floor Plans.pdf,,
EASTYORKSHIRE_PP-10536179_410-NDA-XX-XX-DR-A-(PA-Oaks)-003_Cottage Floor Plans (Proposed)-P01.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-10538483_(100)-02-P2 - Proposed Plans.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP']",
EASTYORKSHIRE_PP-10589659_Floor Plan.pdf,,"scanned image, rotated 90deg, hand drawn"
EASTYORKSHIRE_PP-11003231_The Garden Proposed.pdf,"['Proposed GFL','Proposed 1FL','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11005239_201 Ground Floor as Proposed.pdf,['Proposed GFL'],
EASTYORKSHIRE_PP-11005239_202 First Floor as Proposed.pdf,['Proposed 1FL'],
EASTYORKSHIRE_PP-11005431_Miller.provisional.27.1.22.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE','Existing FRE','Existing SDE','Existing RRE','Existing 1FL','Existing GFL']",
EASTYORKSHIRE_PP-11007472_27 - Plot 4 Proposals.pdf,"['Proposed RP','Proposed 1FL','Proposed GFL']",
EASTYORKSHIRE_PP-11007472_28 - Plot 5 Proposals.pdf,,incomplete labels
EASTYORKSHIRE_PP-11007472_29 - Plot 6 Proposals .pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11007472_30 - CARPORTS_-_PROPOSALS-2788591.pdf,,incomplete labels
EASTYORKSHIRE_PP-11007472_31 - General views Proposals.pdf,,
EASTYORKSHIRE_PP-11007472_58 - PLOT_4_EXISTING_FLOOR_PLAN__ROOF_PLAN_AND_ELEVATIONS-2277384.pdf,"['Existing GFL','Existing 1FL','Existing RP']",
EASTYORKSHIRE_PP-11008785_2012D_6A_TP_BARN_CON.pdf,"['Proposed SDE','Proposed FRE','Proposed RRE','Proposed GFL','Proposed 1FL','Proposed Section']",
EASTYORKSHIRE_PP-11011155v1_02 D Proposed Floor Plans and Sections.pdf,"['Proposed 1FL','Proposed GFL','Proposed 2FL','Proposed Section']",
EASTYORKSHIRE_PP-11011155_02 D Proposed Floor Plans and Sections.pdf,"['Proposed 1FL','Proposed GFL','Proposed 2FL','Proposed Section']",
EASTYORKSHIRE_PP-11015184_2-3 Cross Street Beverley Proposed 1.pdf,,scanned image
EASTYORKSHIRE_PP-11015282_3247 10 House Type Wells.pdf,"['Proposed FRE','Proposed WE','Proposed SDE','Proposed SE','Proposed RRE','Proposed EE','Proposed NE','Proposed Section','Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11015307_731-P01 A - Proposed Floor Plans - A3.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11020617_185-P01 - Proposed Plan - A3.pdf,['Proposed GFL'],
EASTYORKSHIRE_PP-11024797_HP-153-1-PLANS.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11026235_1137 - 03 - RevB - Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11026654_3097 109a House Type Rockingham.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026654_3097 110a House Type Rockingham handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026654_3097 111a House Type Wansford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026654_3097 112a House Type Wansford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026654_3097 113a House Type Hertford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026654_3097 114a House Type Hertford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 24a House Type Wansford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 25a House Type Wansford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 26a House Type Rockingham.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 27a House Type Rockingham handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 30a House Type Hertford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11026911_3117 31a House Type Hertford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 24a Wansford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 25a Wansford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 26a Rockingham.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 27a Rockingham handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 30a Hertford.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11027048_3151 31a Hertford handed.pdf,"['Proposed 1FL','Proposed GFL','Proposed Section','Proposed FRE','Proposed SDE','Proposed RRE']",
EASTYORKSHIRE_PP-11029358_622 - PR.04 Rev K Proposed Plans.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11029926_725-P01 - Proposed Floor Plans - A3.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11029937_PT364-PTA-00-ZZ-DR-A-00103_P7_Proposed Floor Plans.pdf,,incomplete labels
EASTYORKSHIRE_PP-11032118_Proposed plans 41 Hodsow Fields P-AR-21-11-03.pdf,,"scanned image, rotated 90deg"
EASTYORKSHIRE_PP-11034665_J8046-204-G Proposed Ground Floor Plan.pdf,['Proposed GFL'],
EASTYORKSHIRE_PP-11034947_2202 - P001.pdf,"['Proposed GFL','Proposed 1FL','Proposed BaseP']",
EASTYORKSHIRE_PP-11035609_10201.04 Proposed Plan.pdf,['Proposed GFL'],
EASTYORKSHIRE_PP-11035609_10201.09 Proposed Roof Plan.pdf,['Proposed RP'],
EASTYORKSHIRE_PP-11035629_2982 09 F Proposed Alterations Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
EASTYORKSHIRE_PP-11036593_2022 - 009 - 01 - Existing and Proposed Drawings - Print Layout.pdf,,scanned image
EASTYORKSHIRE_PP-11044082_5 - GENERAL_VIEWS_PROPOSALS-3062146.pdf,,
EA_PP-10499450_00-2 Rev- 20Dec21.pdf,['Proposed GFL'],
EA_PP-10499450_00-3 Rev- 20Dec21.pdf,['Proposed 1FL'],
EA_PP-10499450_00-4 Rev- 20Dec21.pdf,['Proposed RP'],
EA_PP-10521664_A706-PL01 - Proposed Ground Floor and Garden Plan.pdf,['Proposed GFL'],
EA_PP-10563089_SBH-PRP-CWF-00-DR-A-2004.pdf,['Proposed GFL'],
EA_PP-10563089_SBH-PRP-CWF-01-DR-A-2005.pdf,['Proposed 1FL'],
EA_PP-10563089_SBH-PRP-CWF-02-DR-A-2006.pdf,['Proposed 2FL'],
EA_PP-10563089_SBH-PRP-CWF-03-DR-A-2007.pdf,['Proposed 3FL'],
EA_PP-10563089_SBH-PRP-CWF-04-DR-A-2008.pdf,['Proposed 4FL'],
EA_PP-10563089_SBH-PRP-CWF-05-DR-A-2009.pdf,['Proposed 5FL'],
EA_PP-10563089_SBH-PRP-CWF-ZZ-DR-A-2003.pdf,['Proposed BaseP'],
EA_PP-11000200_21-018-ST2-123.pdf,['Proposed RP'],
EA_PP-11001169_PP-06-3250-11B-GRE PROPOSED GROUND FLOOR PLAN.PDF,['Proposed GFL'],
EA_PP-11001169_PP-07-3250-11B-GRE- PROPOSED FIRST FLOOR PLAN.PDF,['Proposed 1FL'],
EA_PP-11001169_PP-08-3250-11B-GRE PROPOSED LOFT FLOOR PLAN.PDF,['Proposed Loft'],
EA_PP-11001169_PP-09-3250-11B-GRE PROPOSED ROOF TOP PLAN.PDF,['Proposed RP'],
EA_PP-11004382_19 Sandall Road W5 1HZ - Sheet - 2114-A-200 - Proposed Ground Floor Plan.pdf,['Proposed GFL'],
EA_PP-11004382_19 Sandall Road W5 1HZ - Sheet - 2114-A-201 - Proposed First Floor Plan.pdf,['Proposed 1FL'],
EA_PP-11005082_3rd Floor plan - proposed Rev F.pdf,['Proposed 3FL'],
EA_PP-11009168_239.011_Pr_B+G Plan_31 01 22.pdf,"['Proposed GFL','Proposed BaseP']",
EA_PP-11009168_239.013_Pr_2 Plan_31 01 22.pdf,['Proposed 2FL'],
EA_PP-11010151_10 Proposed Ground Floor.pdf,['Proposed GFL'],
EA_PP-11010151_11 Proposed First Floor.pdf,['Proposed 1FL'],
EA_PP-11010151_12 Proposed Roof Plan.pdf,['Proposed RP'],
EA_PP-11010192_1067-12 Outbuilding Plans As Proposed.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP']",
EA_PP-11010827_2141_PL-100-011.pdf,,scanned image
EA_PP-11010827_2141_PL-100-012.pdf,,scanned image
EA_PP-11011287_87 Sherwood Avenue Greenford UB6 - AP-DR-U1-00-00-04-00-0001 A1 - Proposed Planning Plans - 1 Level.pdf,['Proposed 1FL'],
EA_PP-11011518_Proposed Floor Plans 2022.pdf,"['Proposed GFL','Proposed 1FL','Proposed 2FL']",
EA_PP-11011527_IMG_20220206_174401.jpg,,
EA_PP-11013494v1_1301_202_ProposedPlans-P1.pdf,"['Proposed GFL','Proposed 1FL','Proposed 2FL','Proposed RP']",
EA_PP-11013494_1301_202_ProposedPlans-P1.pdf,"['Proposed GFL','Proposed 1FL','Proposed 2FL','Proposed RP']",
EA_PP-11014066_10197PD3001.pdf,"['Proposed RP','Proposed Loft','Proposed 1FL']",
EA_PP-11014600_55 Lindsay Road - Proposed Floor Plan.pdf,['Existing GFL'],
EA_PP-11014806_SCP2181003-1.pdf,"['Proposed GFL','Proposed RP','Proposed Section']",
EA_PP-11015123_SCP2211205-1.pdf,"['Proposed 1FL','Proposed Loft','Proposed RP']",
EA_PP-11015146_SCP2211019-1.pdf,"['Proposed GFL','Proposed 1FL','Proposed Loft','Proposed RP']",
EA_PP-11015962_2102 TP005 B Proposed Ground Plan A3.pdf,['Proposed GFL'],
EA_PP-11018257_A202 Proposed First Floor Plan .pdf,['Proposed 1FL'],
EA_PP-11019064_386 Church Rd_A101.pdf,,scanned image
EA_PP-11019064_386 Church Rd_A102.pdf,,scanned image
EA_PP-11019713_PROPOSED GROUND FLOOR PLAN.pdf,['Proposed GFL'],
EA_PP-11019808_485 - A12_P2.pdf,"['Proposed GFL','Proposed 1FL']",
EA_PP-11019808_485 - A13_P2.pdf,"['Proposed 2FL','Proposed RP']",
EA_PP-11022685_Proposed plans and elevations.pdf,,"scanned image, rotated 90deg"
EA_PP-11023513_04 Proposed Ground Floor Plan.pdf,['Proposed GFL'],
EA_PP-11024559v1_PL-129ATL-05.pdf,"['Proposed GFL','Proposed 1FL']",
EA_PP-11024559_PL-129ATL-05.pdf,"['Proposed GFL','Proposed 1FL']",
EA_PP-11025420_2 Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP']",
EA_PP-11025684_PN-07 - Ground Floor Plan - Proposed.pdf,['Proposed GFL'],
EA_PP-11025684_PN-08 - First Floor Plan - Proposed.pdf,['Proposed 1FL'],
EA_PP-11025684_PN-09 - Loft Floor Plan - Proposed.pdf,['Proposed Loft'],
EA_PP-11027288_9 Montgolfier Walk Northolt UB5 - AP-DR-U1-00-00-04-00-0001 A1 - Proposed Planning Plans - 2 Level - Roof.pdf,"['Proposed 2FL','Proposed RP']",
