Filename,Labels,Notes
CORNWALL_PP-11020679_PA21_06062-EXISTING_SOUTH_AND_WEST_ELEVATIONS-5831630.pdf,,
CORNWALL_PP-11020967_81974.pdf,,scanned image
CORNWALL_PP-11021683_Sheet S1 03 Rev A Existing Elevations 30 12 21.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11021848_1196-03 Elevations - Ex.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11022038_DA067-PL-02-01  HOLMES EXISTING ELEVATIONS.pdf,"['Existing EE','Existing NE','Existing WE']",
CORNWALL_PP-11022464_Elevation Plans.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11023856_EXISTING elevations 5.2.22.pdf,"['Existing NE','Existing WE','Existing EE','Existing SE']",
CORNWALL_PP-11024423_SD-004-P1-ExElevations.pdf,,scanned image
CORNWALL_PP-11027351_21127-3-0004 - EXISTING ELEVATIONS - SHEET 1.pdf,"['Existing SWE','Existing NEE']",
CORNWALL_PP-11029752_H15  - Existing House Elevations.pdf,"['Existing EE','Existing NE']",
CORNWALL_PP-11029752_H16  - Existing House Elevations.pdf,"['Existing SE','Existing WE','Existing Section']",
CORNWALL_PP-11029752_H18  A Existing Storage Building Elevations.pdf,"['Existing NE','Existing WE','Existing EE','Existing SE']",
CORNWALL_PP-11030076_596503-1.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11030076_596503-2.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11030795_021-06-103 Existing Elevations.pdf,,incomplete labels
CORNWALL_PP-11030819_Dwg no 1399 - 01B.pdf,,scanned image
CORNWALL_PP-11030822_Planning-Existing.pdf,"['Existing GFL','Existing FRE','Existing SDE']",
CORNWALL_PP-11031196_P.06 EXISTING ELEVATIONS - OUTBUILDING.pdf,"['Existing SEE','Existing SWE','Existing NWE','Existing NEE']",
CORNWALL_PP-11032043_240 Existing Elevations.pdf,"['Existing WE','Existing SE','Existing EE','Existing NE']",
CORNWALL_PP-11033438_Pheasant Lodge - Existing Elevations.pdf,"['Existing EE','Existing WE','Existing NE','Existing SE']",
CORNWALL_PP-11034232_21005 - SURV03 - Existing Elevations.pdf,"['Existing NE','Existing EE','Existing WE']",
CORNWALL_PP-11034260_1126-01-4001_Existing Elevations (1)_REV C.pdf,"['Existing WE','Existing SE']",
CORNWALL_PP-11035669_21478-PL-02-01   STOREY EXISTING ELEVATIONS.pdf,"['Existing WE','Existing EE','Existing SE','Existing NE']",
CORNWALL_PP-11037246_AS2.03 - Existing Staff House Elevation - Rev A.pdf,,scanned image
CORNWALL_PP-11041668_Ex Elevations.pdf,"['Existing WE','Existing EE','Existing SE','Existing NE']",
DUDLEY_PP-11006003_002 existing elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
DUDLEY_PP-11006726_JD_BR_P03.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
DUDLEY_PP-11007582v1_01 - Existing plans 125 Barnett Lane Planning Submission January 2022-.pdf,"['Existing GFL','Existing 1FL','Existing FRE','Existing SDE','Existing RRE']",
DUDLEY_PP-11007582_01 - Existing plans 125 Barnett Lane Planning Submission January 2022-.pdf,"['Existing GFL','Existing 1FL','Existing FRE','Existing SDE','Existing RRE']",
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 003 Elevations - Copy (2).pdf,"['Existing FRE','Existing RRE','Proposed FRE','Proposed RRE']",
DUDLEY_PP-11021960_MARKET STREET.pdf,"['Existing BaseP','Existing FRE','Existing GFL','Existing 1FL','Existing RP','Existing RRE','Existing SDE']",
DUDLEY_PP-11026959_50087 - 01 - 03 Existing Elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EASTYORKSHIRE_PP-11005239_300 Elevations as Existing.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EASTYORKSHIRE_PP-11005853_3026-2a.PDF,,scanned image
EASTYORKSHIRE_PP-11005989_2 lord roberts.png,,
EASTYORKSHIRE_PP-11027817_IMG_0431.jpeg,,
EASTYORKSHIRE_PP-11032118_Existing elevations 41 Hodsow Fields P-AR-21-11-02.pdf,,"scanned image, rotated 90deg"
EASTYORKSHIRE_PP-11034916_0531_00_400_A.pdf,,scanned image
EASTYORKSHIRE_PP-11035609_10201.03 Existing Elevations.pdf,,no labels
EASTYORKSHIRE_PP-11036737_24 St Martins Court Beverley Existing layout.pdf,,"scanned image, rotated 90deg"
EASTYORKSHIRE_PP-11044174_2345.01 Survey.pdf,,scanned image
EASTYORKSHIRE_PP-11044174_2345.02 Option 4.pdf,"['Existing BaseP','Existing FRE','Existing GFL','Existing 1FL','Existing RP','Existing RRE','Existing SDE']",
EASTYORKSHIRE_PP-11045824_J8147-204-A A1 Proposed Elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EA_PP-10563089_SBH-PRP-CWF-ZZ-DR-A-1009.pdf,"['Existing NE','Existing SE']",
EA_PP-11000200_S070-21 - _EX01 (4).pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EA_PP-11007034_200-FRONT ELEVATION.pdf,['Existing FRE'],
EA_PP-11008105_4-17.pdf,"['Existing FRE','Existing Loft']",
EA_PP-11010151_07 Existing Front Elevation.pdf,['Existing FRE'],
EA_PP-11011430_A2 Existing Front Elevation.pdf,['Existing FRE'],
EA_PP-11013494v1_1301_103_ExistingElevations-P1.pdf,"['Existing EE','Existing Section','Existing WE']",
EA_PP-11013494_1301_103_ExistingElevations-P1.pdf,"['Existing EE','Existing Section','Existing WE']",
EA_PP-11014047_10197A05001.pdf,"['Existing EE','Existing SE']",
EA_PP-11014066_10197PD5001.pdf,"['Existing EE','Existing SE']",
EA_PP-11014806_SCP2181003-02.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EA_PP-11019064_386 Church Rd_A20.pdf,,scanned image
EA_PP-11019961_ST0244A BEDFORD AVENUE Perivale UB6 7PP.pdf,,incomplete labels
EA_PP-11023079_AL102 - Existing and Proposed SIte Elevations.pdf,"['Proposed EE','Existing EE','Proposed WE','Existing WE','Proposed NE','Existing NE','Proposed SE','Existing SE']",
EA_PP-11024559v1_PL-129ATL-04.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11024559_PL-129ATL-04.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11025420_3 Existing Elevations.pdf,"['Existing RRE','Existing SDE']",
EA_PP-11025684_PN-06 - Existing Elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11027954_2 North Lodge Reduced Proposals.pdf,,"scanned image, hand drawn"
EA_PP-11033444_NH03 EXISTING ELEVATIONS.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11034320_91 Ealing Park Gardens - Existing - Sheet - EPG-R00-EX-104 - EXISTING ELEVATIONS.pdf,"['Existing RRE','Existing SDE']",
EA_PP-11034641_91 Ealing Park Gardens - Existing - Sheet - EPG-R00-EX-104 - EXISTING ELEVATIONS.pdf,"['Existing RRE','Existing SDE']",
EA_PP-11034641_91 Ealing Park Gardens - Existing - Sheet - EPG-R00-EX-105 - EXISTING ELEVATIONS.pdf,"['Existing FRE','Existing SDE']",
EA_PP-11041707_7_FRONT ELEVATION_EXISTING_50.pdf,['Existing FRE'],
EA_PP-11043627_8FD3333B-AFFD-4E1A-8972-392E004939D0.jpeg,,
EA_PP-11044675_EX03.pdf,"['Existing EE','Existing FRE','Proposed WE']",
EA_PP-11045634_5000 - 02.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11045821_31 St - Sheet - JA-R00-EX-103 - EXISTING FLOOR PLANS.pdf,"['Existing Loft','Existing RP']",
EA_PP-11045997_31 St - Sheet - JA-R00-EX-104 - EXISTING ELEVATIONS.pdf,"['Existing RRE','Existing SDE']",
PRESTON_PP-11018869_2259 - 002 - Existing Elevations.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
PRESTON_PP-11040087_Existing Elevations.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
PRESTON_PP-11046285_D0182 - 103_ - Existing Elevations - PLANNING.pdf,"['Existing SDE','Existing FRE','Existing RRE']",
REDBRIDGE_PP-10453138_A101-Existing Floor Plan and Elevation.pdf,"['Existing GFL','Existing FRE','Existing SDE','Existing SE','Existing NE']",
REDBRIDGE_PP-10496070_CA12403-004-A Existing Elevations Plan-A1L.pdf,"['Existing SWE','Existing FRE']",
REDBRIDGE_PP-10576807_210328-030_P1_Existing_Elevations.pdf,"['Existing FRE','Existing RRE']",
REDBRIDGE_PP-10590180_06 EXG Elev F+R.pdf,,scanned image
REDBRIDGE_PP-11000796v1_05-1014-PLAN-104-A Existing Elevations.pdf,,scanned image
REDBRIDGE_PP-11000796_05-1014-PLAN-104-A Existing Elevations.pdf,,scanned image
REDBRIDGE_PP-11000926_Existing front and rear elevations.pdf,,scanned image
REDBRIDGE_PP-11002105_Existing Drawing.pdf,"['Existing FRE','Existing RRE','Existing SDE','Existing GFL','Existing 1FL']",
REDBRIDGE_PP-11003971_P-02.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
REDBRIDGE_PP-11008133_PL-005.pdf,"['Existing FRE','Existing RRE']",
REDBRIDGE_PP-11010982_14 existing sections 2.pdf,"['Existing WE','Existing EE','Existing Section']",
REDBRIDGE_PP-11012038_Te0318.20.pdf,['Existing FRE'],
REDBRIDGE_PP-11016708_KL-1211-11.pdf,"['Proposed RRE','Proposed SDE','Existing RRE','Existing SDE','Existing GFL','Proposed GFL']",
REDBRIDGE_PP-11018964_PL02-EXISTIG ELEVATION AND SECTION AA.pdf,"['Existing FRE','Existing RRE','Existing SDE','Existing Section']",
REDBRIDGE_PP-11019076_55-BC-302.pdf,['Existing FRE'],
REDBRIDGE_PP-11020573_10 CLEMMATIS GARDENS.PDF,,"scanned image, hand drawn"
REDBRIDGE_PP-11020573_Elevation(Front)Existing_included_in_Elevation(Front)Existing.pdf,,
REDBRIDGE_PP-11020722_CA12404-004-A Existing Elevations Plan-A1L.pdf,"['Existing SEE','Existing NEE','Existing NWE']",
REDBRIDGE_PP-11022818v1_032C-VA-300.pdf,"['Existing FRE','Existing NE','Existing EE','Existing RRE','Existing SE','Existing WE']",
REDBRIDGE_PP-11022818_032C-VA-300.pdf,"['Existing FRE','Existing NE','Existing EE','Existing RRE','Existing SE','Existing WE']",
REDBRIDGE_PP-11029884_005 EXISTING PLANS AND ELEVATIONS.pdf,"['Existing 1FL','Existing RP','Existing RRE','Existing SDE']",
REDBRIDGE_PP-11030459_22 Somersby Gardens Basement-XLN03 Existing Elevations.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
REDBRIDGE_PP-11030800_E02.pdf,"['Existing FRE','Existing RRE']",
REDBRIDGE_PP-11032898_20.Revnone.pdf,['Existing FRE'],
REDBRIDGE_PP-11034974_AR1.1 Existing and Proposed West Elev.pdf,"['Existing WE','Proposed WE']",
REDBRIDGE_PP-11035143_Existing Front Elevation.pdf,['Existing FRE'],
REDBRIDGE_PP-11036722_ELE (2).pdf,"['Existing FRE','Proposed FRE']",
SALFORD_PP-11010755v1_154 Derby Road Salford HAD3288-03.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
SALFORD_PP-11010755_154 Derby Road Salford HAD3288-03.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
SALFORD_PP-11015044_LP2113_3_110_Existing Elevations 1.pdf,"['Existing FRE','Existing SDE']",
SALFORD_PP-11026855_1125-03 Existing Elevations.pdf,"['Existing FRE','Existing SDE','Existing EE','Existing NE','Existing WE']",
SALFORD_PP-11030256_13 High Bank Road_Existing Elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
SALFORD_PP-11030256_13 High Bank Road_Proposed Elevations.pdf,,incomplete labels
SALFORD_PP-11030804_15 Chatsworth Road-Existing elevations 02.pdf,,scanned image
SALFORD_PP-11035315_1023 - Front Elevations - 04.pdf,"['Existing FRE','Proposed FRE']",
SALFORD_PP-11035430_5 Woodgarth Lane 3 Of 5 AA.pdf,"['Proposed FRE','Proposed RRE']",
SALFORD_PP-11035430_5 Woodgarth Lane 5 of 5.pdf,"['Existing FRE','Existing RRE']",
STALBANS_PP-11000220_03 - 32 Kimberley Road - St.Albans - Herts - AL3 5PX - As Existing  - Front Elevation.pdf,['Existing FRE'],
STALBANS_PP-11004347_1 OAKWOOD DRIVE_PL03.pdf,"['Existing RRE','Existing FRE','Existing SDE']",
STALBANS_PP-11005753_1607_202B Existing Front Elevation.pdf,['Existing FRE'],
STALBANS_PP-11005756_Screenshot 2022-02-01 at 13.18.27.png,,
STALBANS_PP-11008333_P1-110.pdf,,"scanned image, rotated 90deg"
STALBANS_PP-11009203_P1-110.pdf,,"scanned image, rotated 90deg"
STALBANS_PP-11010374_1003.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
STALBANS_PP-11011837_TB A 202 existing elevations.pdf,"['Existing RRE','Existing SDE','Existing FRE']",
STALBANS_PP-11014882_AIC-21072-38BFA-LE-A306-ExistingElevations-A00.pdf,"['Existing FRE','Existing SDE']",
STALBANS_PP-11015566_21-034_PL_300_Existing Elevations.pdf,"['Existing FRE','Existing EE','Existing SDE','Existing SE','Existing RRE','Existing WE','Existing NE']",
STALBANS_PP-11016569_13699_E04.pdf,['Existing FRE'],
STALBANS_PP-11018273_20BB-034-existing elevations.pdf,"['Existing RRE','Existing FRE','Existing SDE']",
STALBANS_PP-11025711_SUN_LANE_18-C200 PL03.pdf,"['Existing FRE','Existing RRE']",
STALBANS_PP-11027777_Sleapcross Gdns-35-P-Els.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
STALBANS_PP-11029566_SD192_020-Existing elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
STALBANS_PP-11032557_102_EX_02_P2_AS EXISTING elevations 1.pdf,"['Existing SE','Existing EE']",
