Filename,Labels,Notes
CORNWALL_PP-11031433_PA20_00859-CLICK_AND_COLLECT_PLAN_AND_ELEVATIONS-4872401.pdf,,
CORNWALL_PP-11031433_PA20_00859-PROPOSED_ELEVATIONS-4885196.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11031440_16444280070236473407067591946541.jpg,,
CORNWALL_PP-11032043_340 Proposed Elevations.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11033438_Pheasant Lodge - Proposed Elevations.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11033532_1802 3 0303E Elevation SW - Proposed.pdf,['Proposed SWE'],
CORNWALL_PP-11034096_Harrod - 22012 - Elevation  Floor Plan (002).pdf,"['Proposed NEE','Proposed SEE','Proposed SWE','Proposed NWE']",
CORNWALL_PP-11034232_21005 - PL02-01 - Proposed Elevations.pdf,"['Proposed NE','Proposed EE','Proposed WE']",
CORNWALL_PP-11034260_1126-03-4001_Proposed Elevations (1)_REV C.pdf,"['Proposed WE','Proposed SE']",
CORNWALL_PP-11034955_amended plans.jpeg,,
CORNWALL_PP-11035570_2117_P_007 Proposed Elevations 01.pdf,['Proposed NWE'],
CORNWALL_PP-11035570_2117_P_008 Proposed Elevations 02.pdf,"['Proposed NEE','Proposed SWE']",
CORNWALL_PP-11035570_2117_P_009 Proposed Elevations 03.pdf,['Proposed SWE'],
CORNWALL_PP-11035669_21478-PL-02-02   STOREY PROPOSED ELEVATIONS.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE']",
CORNWALL_PP-11037246_AV1.03 - Proposed Staff House Elevation - Rev B.pdf,,scanned image
CORNWALL_PP-11041668_Prop elevations.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE']",
CORNWALL_PP-11045739_South Elevation 1-100.pdf,['Proposed SE'],
DUDLEY_PP-10077073_Bm3 -71316 -D11E - 2021-03-01 - House Type A ( Tudor Hill).pdf,,scanned image
DUDLEY_PP-10077073_Bm3 -71316 -D12F - 2021-03-01 - House Type B ( Tudor Hill).pdf,,scanned image
DUDLEY_PP-10077073_Bm3 -71316 -D13D - 2021-03-01 - House Type C ( Tudor Hill).pdf,,scanned image
DUDLEY_PP-10077073_Bm3 -71316 -D14F - 2021-03-17 - House Type D ( Tudor Hill) flats numbered.pdf,"['Proposed SDE','Proposed RRE','Proposed FRE','Proposed GFL','Proposed 1FL','Proposed 2FL']",
DUDLEY_PP-10077073_Bm3 -71316 -D14F - 2021-03-17 - House Type D ( Tudor Hill).pdf,,scanned image
DUDLEY_PP-10077073_Bm3 -71316 -D15F - 2021-03-17 - House Type E ( Tudor Hill) flats numbered.pdf,"['Proposed SDE','Proposed RRE','Proposed FRE','Proposed GFL','Proposed 1FL','Proposed 2FL']",
DUDLEY_PP-10077073_Bm3 -71316 -D15F - 2021-03-17 - House Type E ( Tudor Hill).pdf,,
DUDLEY_PP-11005779_03p elevations front.pdf,"['Proposed SDE','Proposed FRE','Existing SDE','Existing FRE']",
DUDLEY_PP-11006003_011 proposed elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
DUDLEY_PP-11006726_JD_BR_P06.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
DUDLEY_PP-11007582_02 - REV A - Proposed  plans 125 Barnett  Lane Planning Submission January 2022-Proposed Layout.pdf,"['Proposed SDE','Proposed RRE','Proposed FRE','Proposed GFL','Proposed 1FL']",
DUDLEY_PP-11014901_DUDLEY-ELEVATIONS (1).pdf,"['Proposed SDE','Proposed FRE','Proposed RRE']",
DUDLEY_PP-11014901_DUDLEY-SF.pdf,['Proposed 2FL'],
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 003 Elevations - Copy (3).pdf,"['Existing FRE','Existing RRE','Proposed FRE','Proposed RRE']",
DUDLEY_PP-11021185_205-0120-08C-2022.02.07-Proposed Elevations-A1.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
DUDLEY_PP-11039721_22-521-P05 PROPOSED ELEVATIONS.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EASTYORKSHIRE_PP-10479398_Grange Farm-Rev C-Plots Elevations & Sections.pdf,,incomplete labels
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Glamping Tents Elevations.pdf,,incomplete labels
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Sanitary Facilities Elevations.pdf,,incomplete labels
EASTYORKSHIRE_PP-10482023_Grange Farm-Rev C-Stables Elevations.pdf,,incomplete labels
EASTYORKSHIRE_PP-11005239_400 Elevations as Proposed.pdf,"['Proposed RRE','Proposed FRE','Proposed SDE']",
EASTYORKSHIRE_PP-11005853_3026-6.PDF,,scanned image
EASTYORKSHIRE_PP-11007472_7 - PLOT_1_PROPOSED_ELEVATIONS_AMD_FLOOR_PLANS-3056828.pdf,"['Proposed RP','Proposed GFL']",
EASTYORKSHIRE_PP-11007472_8 - PLOT_3_PROPOSED_ELEVATIONS_AMD_FLOOR_PLANS-3056825.pdf,"['Proposed RP','Proposed GFL']",
EASTYORKSHIRE_PP-11011155v1_03 D Proposed Elevations.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE']",
EASTYORKSHIRE_PP-11011155_03 D Proposed Elevations.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE']",
EASTYORKSHIRE_PP-11030882_Drawing 2 - Elevations A1.pdf,,incomplete labels
EASTYORKSHIRE_PP-11032118_Proposed elevations 41 Hodsow Fields P-AR-21-11-04.pdf,,"scanned image, rotated 90deg"
EASTYORKSHIRE_PP-11033148_0531_00_400_A.pdf,,scanned image
EASTYORKSHIRE_PP-11034947_2202 - P002.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE']",
EASTYORKSHIRE_PP-11035609_10201.06 Proposed Elevations (2).pdf,"['Proposed RRE','Proposed SDE','Proposed EE','Proposed SE']",
EASTYORKSHIRE_PP-11035629_2982 10 D Proposed Alterations Elevations.pdf,"['Proposed FRE','Proposed NE','Proposed SDE','Proposed WE','Proposed RRE','Proposed SE','Proposed EE','Proposed Section']",
EASTYORKSHIRE_PP-11036737_24 St Martins Court Beverley Proposed Plans.pdf,,"scanned image, rotated 90deg"
EA_PP-10563089_SBH-PRP-CWF-ZZ-DR-A-2101.pdf,"['Proposed SE','Proposed NE']",
EA_PP-11000200_21-018-ST2-131.pdf,"['Proposed RRE','Proposed SWE','Proposed FRE','Proposed NEE']",
EA_PP-11005082_Front elevation - proposed Rev D.pdf,['Proposed FRE'],
EA_PP-11007034_210-FRONT ELEVATION.pdf,['Proposed FRE'],
EA_PP-11007034_211-REAR ELEVATION.pdf,['Proposed RRE'],
EA_PP-11008105_10-17.pdf,"['Proposed FRE','Proposed RRE']",
EA_PP-11008743_14 hicks avenue elevations 2 storey.pdf,"['Existing SDE','Existing RRE','Proposed SDE','Proposed RRE']",
EA_PP-11009257_2119-P-005A.pdf,"['Proposed RRE','Proposed SDE','Proposed FRE']",
EA_PP-11010151_15 Proposed Front Elevation.pdf,['Proposed FRE'],
EA_PP-11011287_87 Sherwood Avenue Greenford UB6 - AE-DR-00-00-00-07-00-0010 A1 - Proposed Planning Elevations.pdf,,incomplete labels
EA_PP-11011430_A2 Proposed Front Elevation.pdf,['Proposed FRE'],
EA_PP-11013494v1_1301_300_Elevations-P1.pdf,"['Proposed EE','Proposed WE','Proposed Section']",
EA_PP-11013494_1301_300_Elevations-P1.pdf,"['Proposed EE','Proposed WE','Proposed Section']",
EA_PP-11014047_10197A05003.pdf,"['Proposed EE','Proposed SE']",
EA_PP-11014066_10197PD5003.pdf,"['Proposed EE','Proposed SE']",
EA_PP-11014806_SCP2181003-2.pdf,"['Proposed RRE','Proposed SDE','Proposed FRE']",
EA_PP-11019064_386 Church Rd_A200.pdf,,scanned image
EA_PP-11023079_AB-002 - Existing and Proposed Building Elevations.pdf,,incomplete labels
EA_PP-11024559v1_PL-129ATL-06.pdf,"['Proposed RP','Proposed Loft']",
EA_PP-11024559_PL-129ATL-06.pdf,"['Proposed RP','Proposed Loft']",
EA_PP-11025420_4 Proposed Elevations.pdf,"['Proposed SDE','Proposed RRE']",
EA_PP-11025684_PN-011 - Proposed Elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EA_PP-11032806_Existing Elevations.pdf,"['Existing FRE','Existing RRE','Existing SDE']",
EA_PP-11032806_Proposed Elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
EA_PP-11033128_3479 PL(22) 003 Proposed Block A Southern podium edge screening.pdf,"['Proposed 1FL','Proposed SE']",
EA_PP-11033444_NH06 PROPOSED ELEVATIONS.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
EA_PP-11034320_91 Ealing Park Gardens - Proposed - Sheet - EPG-R00-PR-104 - PROPOSED ELEVATIONS-min.pdf,"['Proposed RRE','Proposed SDE']",
EA_PP-11034320_91 Ealing Park Gardens - Proposed - Sheet - EPG-R00-PR-105 - PROPOSED ELEVATIONS-min.pdf,"['Proposed FRE','Proposed SDE']",
EA_PP-11034641_91 Ealing Park Gardens - Proposed - Sheet - EPG-R00-PR-104 - PROPOSED ELEVATIONS-min.pdf,"['Proposed RRE','Proposed SDE']",
EA_PP-11034641_91 Ealing Park Gardens - Proposed - Sheet - EPG-R00-PR-105 - PROPOSED ELEVATIONS-min.pdf,"['Proposed FRE','Proposed SDE']",
EA_PP-11039240_1403-06E Proposed Elevations 1.pdf,"['Proposed RRE','Proposed FRE']",
EA_PP-11044675_P03.pdf,"['Proposed EE','Proposed FRE','Proposed WE']",
EA_PP-11045220_3479 PL(22) 014 Proposed Block A North Elevation Materials.pdf,"['Proposed NE','Proposed 1FL']",
EA_PP-11045220_3479 PL(22) 018 Proposed Block B North Elevation Materials.pdf,"['Proposed NE','Proposed 1FL']",
EA_PP-11045821_31 St - Sheet - JA-R00-PR-104 - PROPOSED ELEVATIONS.pdf,"['Proposed RRE','Proposed SDE']",
EA_PP-11045821_31 St - Sheet - JA-R00-PR-105 - PROPOSED ELEVATIONS.pdf,"['Proposed FRE','Proposed SDE']",
EA_PP-11045997_31 St - Sheet - JA-R00-EX-102 - EXISTING FLOOR PLANS.pdf,"['Existing GFL','Existing 1FL']",
EA_PP-11045997_31 St - Sheet - JA-R00-EX-105 - EXISTING ELEVATIONS.pdf,"['Existing FRE','Existing SDE']",
EA_PP-11045997_31 St - Sheet - JA-R00-PR-104 - PROPOSED ELEVATIONS.pdf,"['Proposed RRE','Proposed SDE']",
EA_PP-11045997_31 St - Sheet - JA-R00-PR-105 - PROPOSED ELEVATIONS.pdf,"['Proposed FRE','Proposed SDE']",
EA_PP-11045997_31 St - Sheet - JA-R00-PR-106 - PROPOSED SECTIONS.pdf,['Proposed Section'],
PRESTON_PP-10534444_2399-CAL-0150_S4-P3 Proposed Elevations.pdf,"['Proposed SEE','Proposed NEE','Proposed NWE','Proposed SWE']",
PRESTON_PP-11004825_CPS 18 044 PL 037A PROPOSED ELEVATIONS SIGNAGE.pdf,"['Proposed WE','Proposed NE','Proposed SE']",
PRESTON_PP-11018869_2259 - 004 - Proposed Elevations.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
PRESTON_PP-11021808_11268 - L04 Proposed Elevations.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
PRESTON_PP-11040087_Proposed Elevations.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
PRESTON_PP-11046285_D0182 - 106_ - Proposed Elevations - PLANNING.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
REDBRIDGE_PP-10453138_A201-Proposed Floor Plan and Elevation.pdf,"['Proposed FRE','Proposed GFL','Proposed SDE','Proposed SE','Proposed NE']",
REDBRIDGE_PP-10496070_CA12403-005-A Proposed Elevations Plan-A1L.pdf,"['Proposed SWE','Proposed FRE']",
REDBRIDGE_PP-10590180_19 PROP ELEV F+R.pdf,,scanned image
REDBRIDGE_PP-11000796v1_05-1014-PLAN-204-D Proposed Elevations.pdf,,scanned image
REDBRIDGE_PP-11000796_05-1014-PLAN-204-D Proposed Elevations.pdf,,scanned image
REDBRIDGE_PP-11000926_A1.401-Proposed Front Elevation.pdf,['Proposed FRE'],
REDBRIDGE_PP-11003663_WP21-05_Existing and Proposed Elevations.pdf,"['Existing FRE','Existing RRE','Proposed FRE','Proposed RRE']",
REDBRIDGE_PP-11003971_P-04.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
REDBRIDGE_PP-11004883_20 GLOUCESTER ROAD E11 2ED Planning - Sheet - PL 112 - EXISTING ELEVATIONS.pdf,"['Existing SE','Existing WE']",
REDBRIDGE_PP-11004883_20 GLOUCESTER ROAD E11 2ED Planning - Sheet - PL 122 - PROPOSED ELEVATIONS.pdf,"['Proposed SE','Proposed WE']",
REDBRIDGE_PP-11007257_65 Freshwell Ave-002.pdf,,scanned image
REDBRIDGE_PP-11010366_004 PROPOSED ELEVATIONS.pdf,"['Proposed RRE','Proposed SDE','Proposed FRE']",
REDBRIDGE_PP-11010982_24 proposed sections 2.pdf,"['Proposed Section','Proposed WE','Proposed EE']",
REDBRIDGE_PP-11011615_DWG 5 - 02-02-2022-5-PLANNING FRONT ELEVATION (9 Grace Close).pdf,['Proposed NWE'],
REDBRIDGE_PP-11012038_Te0318.120.pdf,['Proposed FRE'],
REDBRIDGE_PP-11012772_Redbridge 1.pdf,"['Existing LP','Existing SP','Proposed SP','Existing SDE','Existing FRE','Proposed SDE','Proposed FRE']",
REDBRIDGE_PP-11014418_149 Wensleydale Avenue-PL009B.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE','Proposed Section','Existing LP']",
REDBRIDGE_PP-11015163_4 FRONT ELEVATIONS.pdf,['Existing FRE'],
REDBRIDGE_PP-11018964_PL07-PROPOSED ELEVATIONS AND SECTION A-A.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE','Proposed Section']",
REDBRIDGE_PP-11019076_55-BC-305.pdf,"['Proposed FRE','Proposed RRE']",
REDBRIDGE_PP-11020722_CA12404-005-A Proposed Elevations Plan-A1L.pdf,"['Proposed RRE','Proposed SE']",
REDBRIDGE_PP-11022818v1_032C-VA-310-Rev 09.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
REDBRIDGE_PP-11022818_032C-VA-310-Rev 09.pdf,"['Proposed FRE','Proposed RRE']",
REDBRIDGE_PP-11030459_22 Somersby Gardens Basement-XLN04 Proposed Elevations.pdf,['Proposed FRE'],
REDBRIDGE_PP-11030800_P02.pdf,"['Proposed FRE','Proposed RRE']",
REDBRIDGE_PP-11032898_120.Revnone.pdf,,scanned image
REDBRIDGE_PP-11034974_AR1.2 Existing and Proposed North Elev.pdf,"['Existing NE','Proposed NE']",
REDBRIDGE_PP-11035143_Proposed Front Elevation.pdf,['Proposed FRE'],
REDBRIDGE_PP-11036722_ELE (3).pdf,"['Existing SDE','Proposed SDE']",
REDBRIDGE_PP-11036722_ELE.pdf,"['Existing RRE','Proposed RRE']",
REDBRIDGE_PP-11037433_PC-IG26DN-021-DWG-004-P03-PROPOSED OUTBUILDING FRONT AND SIDE ELEVATIONS.pdf,"['Proposed FRE','Proposed SDE']",
REDBRIDGE_PP-11040309_191 Horns Rd-Proposed Elevation 1.pdf,"['Existing FRE','Existing NE','Proposed FRE','Proposed NE']",
SALFORD_PP-11010167_22006 210.pdf,,"scanned image, rotated 90deg"
SALFORD_PP-11010755v1_154 Derby Road Salford HAD3288-05.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
SALFORD_PP-11010755_154 Derby Road Salford HAD3288-05.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
SALFORD_PP-11011927_1283-Worsley GC Elevs.pdf,,scanned image
SALFORD_PP-11015044_LP2113_3_300_Proposed Elevations 1.pdf,"['Proposed FRE','Proposed SDE']",
SALFORD_PP-11024227_7394 - PS.07 Proposed Elevations.pdf,"['Proposed NE','Proposed EE','Proposed SE','Proposed WE']",
SALFORD_PP-11026855_1125-06 Proposed Elevations.pdf,"['Proposed FRE','Proposed NE','Proposed SDE','Proposed WE','Proposed EE']",
SALFORD_PP-11030804_15 Chatsworth Road-Proposed Elevations  04.pdf,,scanned image
SALFORD_PP-11035232_4A Great Cheetham Street West drwg 4A.pdf,,"scanned image, rotated 90deg"
SALFORD_PP-11036522_21.165.P.100.12.C.Proposed Plans and Front Elevation.pdf,"['Proposed GFL','Proposed 1FL','Proposed FRE']",
SALFORD_PP-11037425_PL_003 - GA Proposed Site Elevations.pdf,"['Proposed SWE','Proposed NWE']",
STALBANS_PP-10558337_2A ROYAL ROAD_PREV1-PL08.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
STALBANS_PP-11000220_10A - 32 Kimberley Road - St.Albans - Herts - AL3 5PX - As Proposed  - Front Elevation.pdf,['Proposed FRE'],
STALBANS_PP-11004347_1 OAKWOOD DRIVE_PL06.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
STALBANS_PP-11005753_1607_202C Proposed Front Elevation.pdf,['Proposed FRE'],
STALBANS_PP-11005756_Screenshot 2022-02-01 at 13.18.39.png,,
STALBANS_PP-11009203_P1-610.pdf,,"scanned image, rotated 90deg"
STALBANS_PP-11010374_1007.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
STALBANS_PP-11011837_TB A 203 proposed elevations.pdf,"['Proposed RRE','Proposed FRE','Proposed SE','Proposed NE','Proposed SDE','Proposed WE']",
STALBANS_PP-11015505_barnfield 43-ISO A1 Layout.pdf,"['Existing GFL','Existing 1FL']",
STALBANS_PP-11015566_21-034_PL_310_Proposed Elevations.pdf,"['Proposed FRE','Proposed EE','Proposed SE','Proposed SDE','Proposed NE','Proposed WE','Proposed RRE']",
STALBANS_PP-11016569_13699_P04.pdf,['Proposed FRE'],
STALBANS_PP-11018273_20BB-304-proposed elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
STALBANS_PP-11021938_23140H_102(D) Proposed Elevations.pdf,"['Proposed SE','Proposed WE','Proposed NE','Proposed EE']",
STALBANS_PP-11025711_SUN_LANE_18-C200 PL07.pdf,"['Proposed FRE','Proposed RRE']",
STALBANS_PP-11027777_Sleapcross Gdns-35-P-Pls.pdf,"['Existing GFL','Existing 1FL']",
STALBANS_PP-11029566_SD192_120-Proposed elevations.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE']",
STALBANS_PP-11032557_102_PL_02_P2_AS PROPOSED elevations 1.pdf,"['Proposed SE','Proposed EE']",
STALBANS_PP-11033939_1293 PL03_EXISTING ELEVATIONS AND SECTION.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
STALBANS_PP-11033939_1293 PL06_PROPOSED ELEVATIONS AND SECTION.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
STALBANS_PP-11035970_AT1029-03 proposed elevations revA.pdf,"['Proposed SDE','Proposed FRE','Proposed RRE']",
STALBANS_PP-11037402_AR0512 AR-ARC-5005(0) Proposed Elevations - Sheet 1 of 2.pdf,,incomplete labels
"STALBANS_PP-11043863_5221_St Albans, Shopfront Elevation-LRC Landscape",,incomplete labels
